valor_ipc,categoria_gasto,fecha_iso,indicador
1.1,IPC General,2018-02-01,IPC_Variacion_Anual_INE
0.6,IPC General,2018-01-01,IPC_Variacion_Anual_INE
1.1,IPC General,2017-12-01,IPC_Variacion_Anual_INE
1.7,IPC General,2017-11-01,IPC_Variacion_Anual_INE
1.6,IPC General,2017-10-01,IPC_Variacion_Anual_INE
1.8,IPC General,2017-09-01,IPC_Variacion_Anual_INE
1.6,IPC General,2017-08-01,IPC_Variacion_Anual_INE
1.5,IPC General,2017-07-01,IPC_Variacion_Anual_INE
1.5,IPC General,2017-06-01,IPC_Variacion_Anual_INE
1.9,IPC General,2017-05-01,IPC_Variacion_Anual_INE
2.6,IPC General,2017-04-01,IPC_Variacion_Anual_INE
2.3,IPC General,2017-03-01,IPC_Variacion_Anual_INE
3.0,IPC General,2017-02-01,IPC_Variacion_Anual_INE
3.0,IPC General,2017-01-01,IPC_Variacion_Anual_INE
1.6,IPC General,2016-12-01,IPC_Variacion_Anual_INE
0.7,IPC General,2016-11-01,IPC_Variacion_Anual_INE
0.7,IPC General,2016-10-01,IPC_Variacion_Anual_INE
0.2,IPC General,2016-09-01,IPC_Variacion_Anual_INE
-0.1,IPC General,2016-08-01,IPC_Variacion_Anual_INE
-0.6,IPC General,2016-07-01,IPC_Variacion_Anual_INE
-0.8,IPC General,2016-06-01,IPC_Variacion_Anual_INE
-1.0,IPC General,2016-05-01,IPC_Variacion_Anual_INE
-1.1,IPC General,2016-04-01,IPC_Variacion_Anual_INE
-0.8,IPC General,2016-03-01,IPC_Variacion_Anual_INE
-0.8,IPC General,2016-02-01,IPC_Variacion_Anual_INE
-0.3,IPC General,2016-01-01,IPC_Variacion_Anual_INE
0.0,IPC General,2015-12-01,IPC_Variacion_Anual_INE
-0.3,IPC General,2015-11-01,IPC_Variacion_Anual_INE
-0.7,IPC General,2015-10-01,IPC_Variacion_Anual_INE
-0.9,IPC General,2015-09-01,IPC_Variacion_Anual_INE
-0.4,IPC General,2015-08-01,IPC_Variacion_Anual_INE
0.1,IPC General,2015-07-01,IPC_Variacion_Anual_INE
